county,<1.30,1.30-1.49,1.50-1.84,>1.85
Georgia,875240.0,151180.0,252377.0,2025305.0
Appling,2105.0,207.0,680.0,2793.0
Atkinson,1407.0,223.0,251.0,1119.0
Bacon,858.0,102.0,662.0,2021.0
Baker,611.0,57.0,93.0,312.0
Baldwin,4296.0,519.0,808.0,5713.0
Banks,1704.0,471.0,222.0,3880.0
Barrow,6003.0,1118.0,2034.0,19372.0
Bartow,8304.0,2017.0,3582.0,21719.0
Ben Hill,2857.0,181.0,670.0,2020.0
Berrien,2381.0,238.0,818.0,2468.0
Bibb,17965.0,1914.0,2914.0,22873.0
Bleckley,877.0,104.0,261.0,1799.0
Brantley,2205.0,495.0,897.0,3548.0
Brooks,1412.0,236.0,468.0,2668.0
Bryan,2333.0,277.0,502.0,10154.0
Bulloch,6055.0,751.0,1395.0,11205.0
Burke,3387.0,477.0,650.0,2882.0
Butts,1733.0,202.0,719.0,4831.0
Calhoun,459.0,119.0,57.0,484.0
Camden,4963.0,352.0,1192.0,13359.0
Candler,1368.0,326.0,533.0,1806.0
Carroll,11075.0,1995.0,3884.0,23759.0
Catoosa,4545.0,868.0,1677.0,14901.0
Charlton,790.0,108.0,237.0,2465.0
Chatham,20991.0,4264.0,6071.0,41645.0
Chattahoochee,839.0,491.0,431.0,2613.0
Chattooga,2606.0,519.0,1168.0,3628.0
Cherokee,10963.0,2344.0,4455.0,70043.0
Clarke,9890.0,1374.0,2056.0,11030.0
Clay,708.0,73.0,25.0,87.0
Clayton,31710.0,5345.0,10170.0,47463.0
Clinch,661.0,103.0,209.0,1273.0
Cobb,45932.0,9237.0,15464.0,177198.0
Coffee,4904.0,828.0,2377.0,5933.0
Colquitt,6111.0,954.0,1412.0,7913.0
Columbia,6328.0,1869.0,3133.0,38271.0
Cook,2153.0,484.0,656.0,2872.0
Coweta,9242.0,1739.0,3378.0,34536.0
Crawford,1559.0,227.0,284.0,1968.0
Crisp,3505.0,224.0,769.0,2713.0
Dade,1565.0,370.0,290.0,3394.0
Dawson,1869.0,324.0,805.0,4349.0
Decatur,3829.0,355.0,860.0,3481.0
DeKalb,59534.0,9517.0,16386.0,122959.0
Dodge,2278.0,305.0,929.0,3279.0
Dooly,1506.0,276.0,240.0,1530.0
Dougherty,14008.0,1650.0,2302.0,10343.0
Douglas,11848.0,2324.0,3440.0,35294.0
Early,1449.0,76.0,199.0,1554.0
Echols,734.0,239.0,57.0,655.0
Effingham,3462.0,1182.0,1351.0,16562.0
Elbert,2078.0,282.0,903.0,2701.0
Emanuel,3144.0,359.0,797.0,3406.0
Evans,1334.0,294.0,325.0,1864.0
Fannin,1739.0,295.0,782.0,2784.0
Fayette,4758.0,997.0,1844.0,32863.0
Floyd,9225.0,1806.0,2826.0,16688.0
Forsyth,6937.0,1262.0,2789.0,67565.0
Franklin,2271.0,281.0,487.0,3862.0
Fulton,65140.0,9177.0,15539.0,173982.0
Gilmer,2873.0,220.0,297.0,4030.0
Glascock,410.0,74.0,79.0,727.0
Glynn,7589.0,910.0,1616.0,14394.0
Gordon,6038.0,1175.0,1811.0,9055.0
Grady,3362.0,450.0,685.0,3443.0
Greene,1509.0,114.0,296.0,1815.0
Gwinnett,73243.0,18883.0,24482.0,234603.0
Habersham,3308.0,735.0,1335.0,6714.0
Hall,19865.0,3418.0,6053.0,41107.0
Hancock,871.0,80.0,240.0,330.0
Haralson,3616.0,401.0,801.0,5713.0
Harris,1209.0,138.0,843.0,7345.0
Hart,2185.0,349.0,630.0,3786.0
Heard,1738.0,74.0,167.0,1852.0
Henry,16137.0,2968.0,4678.0,64501.0
Houston,12386.0,1571.0,3095.0,34537.0
Irwin,790.0,142.0,381.0,1309.0
Jackson,4837.0,822.0,1410.0,16331.0
Jasper,1591.0,54.0,457.0,2816.0
Jeff Davis,2283.0,55.0,748.0,2617.0
Jefferson,2685.0,173.0,572.0,2257.0
Jenkins,1816.0,212.0,155.0,742.0
Johnson,798.0,174.0,182.0,1305.0
Jones,2137.0,444.0,867.0,6903.0
Lamar,1549.0,193.0,479.0,3185.0
Lanier,1412.0,192.0,339.0,2317.0
Laurens,5933.0,1000.0,1432.0,6756.0
Lee,1985.0,229.0,1035.0,7366.0
Liberty,8675.0,1782.0,2551.0,15083.0
Lincoln,1189.0,55.0,137.0,896.0
Long,1937.0,559.0,269.0,3110.0
Lowndes,12096.0,2380.0,3558.0,17023.0
Lumpkin,2012.0,325.0,551.0,5407.0
McDuffie,2562.0,327.0,819.0,3239.0
McIntosh,1319.0,267.0,104.0,1429.0
Macon,1559.0,460.0,626.0,1365.0
Madison,2407.0,621.0,906.0,4620.0
Marion,1158.0,218.0,157.0,595.0
Meriwether,2067.0,694.0,436.0,2813.0
Miller,885.0,93.0,181.0,785.0
Mitchell,3179.0,339.0,1116.0,2877.0
Monroe,2250.0,436.0,684.0,4117.0
Montgomery,1151.0,130.0,214.0,1182.0
Morgan,1731.0,329.0,409.0,4205.0
Murray,4406.0,1464.0,2126.0,6901.0
Muscogee,18747.0,3120.0,5328.0,34388.0
Newton,9233.0,2713.0,4175.0,24907.0
Oconee,1464.0,317.0,559.0,11137.0
Oglethorpe,833.0,148.0,591.0,2832.0
Paulding,9509.0,2285.0,4762.0,49652.0
Peach,2879.0,427.0,402.0,3743.0
Pickens,1976.0,651.0,1037.0,5153.0
Pierce,1997.0,231.0,703.0,3507.0
Pike,1404.0,290.0,526.0,4740.0
Polk,4810.0,1021.0,1402.0,7717.0
Pulaski,980.0,136.0,242.0,1477.0
Putnam,2118.0,733.0,432.0,3130.0
Quitman,411.0,47.0,23.0,329.0
Rabun,1492.0,2.0,469.0,2022.0
Randolph,689.0,79.0,60.0,861.0
Richmond,22646.0,3022.0,3602.0,30039.0
Rockdale,7839.0,1283.0,2300.0,20831.0
Schley,451.0,96.0,203.0,1087.0
Screven,1124.0,207.0,435.0,1762.0
Seminole,1178.0,319.0,270.0,959.0
Spalding,7104.0,927.0,1959.0,11479.0
Stephens,2386.0,388.0,401.0,4125.0
Stewart,581.0,28.0,103.0,461.0
Sumter,4727.0,642.0,811.0,4354.0
Talbot,830.0,164.0,309.0,699.0
Taliaferro,211.0,13.0,-1.0,99.0
Tattnall,2697.0,226.0,792.0,3104.0
Taylor,1327.0,134.0,222.0,1288.0
Telfair,2451.0,446.0,383.0,1971.0
Terrell,1428.0,87.0,218.0,1259.0
Thomas,5448.0,706.0,1491.0,5438.0
