county,<0.5,0.5-0.74,0.75-0.99,1.00-1.24,1.25-1.49,1.50-1.74,1.75-1.84,1.85-1.99,2.00-2.99,3.00-3.99,4.00-4.99,>5.00
Georgia,383859,204561,224683,247214,258279,249003,111329,154735,975544,827903,627168,1575918
Appling,723,570,603,807,286,558,145,280,2394,1844,854,1956
Atkinson,526,209,357,328,348,261,64,106,1155,448,485,700
Bacon,387,332,247,358,552,299,251,188,997,999,624,1055
Baker,307,90,137,23,148,157,17,37,407,407,54,218
Baldwin,3626,1269,2037,1020,1325,1322,585,658,4439,2925,2753,4893
Banks,671,404,665,794,649,535,119,299,2279,1509,864,2266
Barrow,2008,999,1484,2114,1605,2510,639,1397,7649,8026,4585,8534
Bartow,3179,2374,1802,2598,2610,2731,970,1453,11333,10484,7359,13489
Ben Hill,1097,587,773,884,871,516,210,336,2067,923,943,1112
Berrien,839,812,546,625,946,504,239,369,2097,1623,1116,1097
Bibb,8120,5077,4592,4668,4398,3872,1968,1992,14461,12217,8815,19553
Bleckley,544,364,387,358,419,272,336,47,1176,1189,817,1594
Brantley,847,653,716,209,331,726,274,410,2281,1488,1017,1852
Brooks,438,253,671,317,750,602,213,281,1880,1562,1257,1525
Bryan,701,246,585,763,424,459,116,157,3193,2618,2706,6181
Bulloch,8943,2301,2231,2141,1560,1730,784,1114,6975,5111,3046,6993
Burke,1531,661,645,792,1178,816,309,436,2564,1580,1048,1721
Butts,555,312,514,451,767,573,221,217,2712,2108,2116,2898
Calhoun,376,208,255,240,252,301,67,122,504,402,93,354
Camden,1799,1013,1209,859,1332,1044,532,820,6165,5996,3657,6255
Candler,464,729,204,367,262,192,668,101,1519,443,534,767
Carroll,5977,2429,2806,3069,3225,3810,1315,1747,11870,10057,7986,13361
Catoosa,1235,733,1934,1666,1332,1402,800,1283,8351,6493,4433,8777
Charlton,884,328,246,119,291,260,408,210,1909,1330,688,663
Chatham,12619,5186,6419,6508,7668,7460,3639,4511,26895,24969,15333,38513
Chattahoochee,378,182,112,106,271,346,5,42,1162,1111,621,779
Chattooga,1291,582,782,885,1078,974,654,310,3327,2717,1137,1272
Cherokee,3665,2255,3115,3461,4152,3925,1812,2818,19877,19346,16348,49853
Clarke,18461,3989,4640,3182,3376,2746,1737,2005,10541,7840,5023,12096
Clay,133,227,105,193,151,55,35,29,341,99,31,201
Clayton,10236,5667,6634,8677,8959,7943,3479,6014,34771,25527,16356,27796
Clinch,243,271,349,185,465,113,34,266,854,422,391,562
Cobb,19845,10166,12071,12087,15959,13992,6078,9308,59246,57712,50453,175434
Coffee,1680,1019,1588,1271,1201,2288,473,972,4414,3235,2154,3344
Colquitt,1596,1841,1963,1880,1388,1548,542,1220,5807,2668,2592,3297
Columbia,2892,1203,1251,2479,2324,2256,718,1876,10244,11441,9796,26916
Cook,693,806,540,507,597,481,208,335,2494,1265,1033,1115
Coweta,3214,1550,1522,2132,2650,2579,1306,1523,11431,12049,10756,24738
Crawford,860,254,267,161,755,416,55,183,1302,1673,759,1500
Crisp,1353,883,969,728,1135,467,371,347,2935,1501,1203,1763
Dade,560,321,361,372,578,442,95,317,1751,1767,1255,1880
Dawson,690,494,466,390,515,672,557,259,2969,1991,1593,3252
Decatur,1853,786,783,1065,581,950,410,305,3112,2003,1283,3035
DeKalb,29973,13765,17818,19421,19089,19839,8209,12735,69480,61439,44208,132695
Dodge,1199,668,432,747,912,637,189,167,2010,1811,1288,1762
Dooly,599,378,419,277,485,333,180,159,1185,774,880,893
Dougherty,7013,4265,3012,3766,3118,3192,1284,1067,8748,7022,3761,9627
Douglas,3333,1818,2578,3138,2650,3080,1442,1671,14885,12825,10516,22804
Early,532,558,482,334,314,307,453,336,752,1186,387,806
Echols,341,161,213,-1,186,179,-1,119,515,158,297,143
Effingham,972,885,918,793,1274,1294,615,634,6669,4665,4128,8518
Elbert,889,551,914,678,915,935,286,831,2614,1290,1124,1266
Emanuel,1196,781,805,982,983,847,306,416,2671,1410,811,1686
Evans,553,274,276,253,320,352,79,103,1231,1163,387,1217
Fannin,763,501,803,685,839,935,761,453,2451,2161,1298,2340
Fayette,1126,627,995,991,1720,1533,731,1028,6729,8220,8282,32423
