county,percentage
Appling,0.737
Atkinson,0.709
Bacon,0.737
Baker,0.766
Baldwin,0.773
Banks,0.749
Barrow,0.716
Bartow,0.73
Ben Hill,0.731
Berrien,0.743
Bibb,0.735
Bleckley,0.754
Brantley,0.734
Brooks,0.763
Bryan,0.707
Bulloch,0.78
Burke,0.714
Butts,0.75
Calhoun,0.735
Camden,0.72
Candler,0.737
Carroll,0.738
Catoosa,0.749
Charlton,0.746
Chatham,0.764
Chattahoochee,0.621
Chattooga,0.756
Cherokee,0.724
Clarke,0.81
Clay,0.708
Clayton,0.707
Clinch,0.722
Cobb,0.741
Coffee,0.721
Colquitt,0.718
Columbia,0.726
Cook,0.726
Coweta,0.726
Crawford,0.772
Crisp,0.736
Dade,0.771
Dawson,0.768
Decatur,0.736
DeKalb,0.758
Dodge,0.754
Dooly,0.755
Dougherty,0.732
Douglas,0.715
Early,0.734
Echols,0.707
Effingham,0.711
Elbert,0.764
Emanuel,0.736
Evans,0.735
Fannin,0.808
Fayette,0.735
Floyd,0.749
Forsyth,0.695
Franklin,0.771
Fulton,0.754
Gilmer,0.778
Glascock,0.729
Glynn,0.756
Gordon,0.729
Grady,0.741
Greene,0.792
Gwinnett,0.707
Habersham,0.747
Hall,0.718
Hancock,0.783
Haralson,0.746
Harris,0.76
Hart,0.772
Heard,0.739
Henry,0.706
Houston,0.729
Irwin,0.738
Jackson,0.731
Jasper,0.748
Jeff Davis,0.722
Jefferson,0.74
Jenkins,0.729
Johnson,0.746
Jones,0.735
Lamar,0.771
Lanier,0.718
Laurens,0.737
Lee,0.712
Liberty,0.685
Lincoln,0.792
Long,0.687
Lowndes,0.739
Lumpkin,0.781
McDuffie,0.736
McIntosh,0.785
Macon,0.745
Madison,0.754
Marion,0.756
Meriwether,0.76
Miller,0.76
Mitchell,0.728
Monroe,0.766
Montgomery,0.753
Morgan,0.749
Murray,0.73
Muscogee,0.735
Newton,0.707
Oconee,0.716
Oglethorpe,0.759
Paulding,0.697
Peach,0.755
Pickens,0.773
Pierce,0.738
Pike,0.727
Polk,0.732
Pulaski,0.761
Putnam,0.783
Quitman,0.795
Rabun,0.792
Randolph,0.767
Richmond,0.743
Rockdale,0.729
Schley,0.701
Screven,0.748
Seminole,0.767
Spalding,0.742
Stephens,0.767
Stewart,0.784
Sumter,0.735
Talbot,0.784
Taliaferro,0.813
Tattnall,0.739
Taylor,0.748
Telfair,0.751
Terrell,0.745
Thomas,0.746
Tift,0.732
Toombs,0.718
Towns,0.831
Treutlen,0.735
Troup,0.728
Turner,0.742
Twiggs,0.793
Union,0.818
Upson,0.759
Walker,0.76
Walton,0.728
Ware,0.749
Warren,0.763
Washington,0.74
Wayne,0.731
Webster,0.748
Wheeler,0.744
White,0.769
Whitfield,0.713
Wilcox,0.753
Wilkes,0.772
Wilkinson,0.753
Worth,0.752
