,<0.36,<1.38
Appling,569,2249
Atkinson,517,2042
Bacon,258,933
Baker,24,195
Baldwin,1422,5562
Banks,537,2282
Barrow,1630,6877
Bartow,2365,10942
Ben Hill,809,2924
Berrien,421,1523
Bibb,5046,19825
Bleckley,104,376
Brantley,513,2516
Brooks,224,811
Bryan,566,2294
Bulloch,2089,8152
Burke,1070,3867
Butts,379,1578
Calhoun,71,257
Camden,1479,5711
Candler,322,1353
Carroll,3352,14280
Catoosa,1600,6381
Charlton,158,572
Chatham,6425,26527
Chattahoochee,209,1264
Chattooga,741,3434
Cherokee,3715,15137
Clarke,3334,12688
Clay,367,1326
Clayton,10304,41512
Clinch,197,711
Cobb,15682,65130
Coffee,1399,5245
Colquitt,1628,6718
Columbia,1775,8560
Cook,683,2813
Coweta,2914,11767
Crawford,418,1551
Crisp,949,3429
Dade,398,1502
Dawson,635,3023
Decatur,1142,4546
DeKalb,18458,74111
Dodge,821,3299
Dooly,238,1154
Dougherty,4557,18331
Douglas,4092,16647
Early,445,1643
Echols,284,1519
Effingham,1100,4736
Elbert,493,1982
Emanuel,895,3465
Evans,365,1631
Fannin,511,2026
Fayette,1761,7006
Floyd,2893,11784
Forsyth,2192,9060
Franklin,674,2697
Fulton,21039,83947
Gilmer,960,3469
Glascock,1,5
Glynn,2760,10203
Gordon,1875,7647
Grady,1003,4106
Greene,260,941
Gwinnett,24105,107250
Habersham,856,3358
Hall,6213,25823
Hancock,14,50
Haralson,1243,5036
Harris,308,1115
Hart,590,2132
Heard,358,1294
Henry,5593,22410
Houston,4071,15921
Irwin,197,712
Jackson,1305,5321
Jasper,481,1805
Jeff Davis,743,2684
Jefferson,958,3555
Jenkins,724,2859
Johnson,109,396
Jones,621,2542
Lamar,449,1648
Lanier,401,1448
Laurens,1729,6905
Lee,490,1772
Liberty,2644,11491
Lincoln,237,1097
Long,766,3722
Lowndes,3950,16524
Lumpkin,741,2678
McDuffie,829,3338
McIntosh,444,1675
Macon,447,1990
Madison,531,2524
Marion,438,1729
Meriwether,493,2351
Miller,273,987
Mitchell,869,3139
Monroe,648,2603
Montgomery,481,1738
Morgan,488,1802
Murray,1370,6454
Muscogee,5922,24916
Newton,3057,13479
Oconee,312,1182
Oglethorpe,62,226
Paulding,3191,13919
Peach,724,2833
Pickens,654,2498
Pierce,672,2759
Pike,476,1874
Polk,1238,5164
Pulaski,238,1113
Putnam,801,3533
Quitman,45,164
Rabun,421,1711
Randolph,169,612
Richmond,6004,24101
Rockdale,2676,11046
Schley,115,416
Screven,381,1724
Seminole,215,779
Spalding,2135,8676
Stephens,564,2478
Stewart,240,869
Sumter,1404,5708
Talbot,317,1251
Taliaferro,93,450
Tattnall,1039,3752
Taylor,286,1143
Telfair,835,3251
Terrell,412,1490
Thomas,1499,6013
Tift,1127,4286
Toombs,1218,4684
Towns,56,263
Treutlen,37,137
Troup,2688,10449
Turner,134,485
Twiggs,194,914
Union,566,2047
Upson,880,3333
Walker,1954,9318
Walton,2304,9348
Ware,1230,5116
Warren,155,561
Washington,483,2176
Wayne,902,3795
Webster,188,680
Wheeler,360,1303
White,593,2238
Whitfield,4862,20253
Wilcox,316,1304
Wilkes,281,1124
Wilkinson,124,449
Worth,654,2380
