,1.00-1.38,1.00-4.00
Appling,614,6238
Atkinson,464,3664
Bacon,491,5243
Baker,186,1748
Baldwin,1494,12757
Banks,1140,7960
Barrow,2099,27797
Bartow,3706,38420
Ben Hill,1077,6124
Berrien,1258,8082
Bibb,6436,49488
Bleckley,273,3872
Brantley,283,5681
Brooks,763,6256
Bryan,911,9337
Bulloch,2657,20526
Burke,670,6755
Butts,894,8149
Calhoun,160,2078
Camden,957,17782
Candler,787,4488
Carroll,4551,38983
Catoosa,2514,23705
Charlton,194,4935
Chatham,10964,95549
Chattahoochee,191,3915
Chattooga,1333,9662
Cherokee,5373,67441
Clarke,5062,33158
Clay,222,1766
Clayton,12032,107015
Clinch,323,2889
Cobb,20394,199259
Coffee,1426,15064
Colquitt,1866,15513
Columbia,3087,39842
Cook,687,6811
Coweta,3885,42292
Crawford,527,5211
Crisp,820,7838
Dade,759,5887
Dawson,625,8409
Decatur,1144,8564
DeKalb,26976,231825
Dodge,1055,6732
Dooly,549,4860
Dougherty,4774,30723
Douglas,4479,47205
Early,309,4603
Echols,149,1410
Effingham,1565,18029
Elbert,822,7483
Emanuel,1184,7598
Evans,481,4066
Fannin,1050,8423
Fayette,1540,24001
Floyd,4081,32913
Forsyth,3234,40943
Franklin,932,6817
Fulton,29840,254946
Gilmer,1217,10585
Glascock,433,1643
Glynn,2866,24365
Gordon,2713,20124
Grady,889,8008
Greene,759,6080
Gwinnett,27405,257850
Habersham,1263,13175
Hall,7026,61659
Hancock,1018,3959
Haralson,1211,9928
Harris,420,7883
Hart,694,8453
Heard,451,5179
Henry,5750,69668
Houston,4145,45597
Irwin,690,4040
Jackson,1330,19900
Jasper,513,5680
Jeff Davis,574,5450
Jefferson,757,5331
Jenkins,295,2939
Johnson,207,3416
Jones,540,9627
Lamar,857,7422
Lanier,557,3229
Laurens,2560,15317
Lee,847,9590
Liberty,2356,24573
Lincoln,506,2987
Long,679,6742
Lowndes,5445,39638
Lumpkin,1588,11782
McDuffie,891,8022
McIntosh,708,6388
Macon,680,4920
Madison,846,9875
Marion,466,3320
Meriwether,1163,8807
Miller,515,1707
Mitchell,1037,7052
Monroe,1296,8898
Montgomery,271,3532
Morgan,828,5703
Murray,1679,15779
Muscogee,7455,64495
Newton,3501,35938
Oconee,323,7059
Oglethorpe,112,4934
Paulding,3314,50628
Peach,718,7259
Pickens,1449,9846
Pierce,919,7911
Pike,519,6552
Polk,1700,14556
Pulaski,686,5088
Putnam,1262,8084
Quitman,321,2124
Rabun,772,6322
Randolph,449,2911
Richmond,7581,71680
Rockdale,3026,31093
Schley,182,2305
Screven,690,5823
Seminole,459,2952
Spalding,2664,23896
Stephens,1238,8600
Stewart,360,2742
Sumter,1150,9388
Talbot,439,2488
Taliaferro,544,1103
Tattnall,887,6659
Taylor,361,2869
Telfair,357,4234
Terrell,469,3618
Thomas,1469,13648
Tift,1348,13032
Toombs,1014,9001
Towns,719,3939
Treutlen,399,2772
Troup,2442,22875
Turner,310,3025
Twiggs,457,2577
Union,724,5692
Upson,1248,11035
Walker,3396,26974
Walton,2366,27665
Ware,1436,11922
Warren,461,3375
Washington,736,6080
Wayne,1365,9907
Webster,335,1589
Wheeler,204,2280
White,1201,9620
Whitfield,4727,40558
Wilcox,361,2793
Wilkes,451,3950
Wilkinson,407,3899
Worth,893,7739
